ICA components n.,reconstruction error
1,0.00210830353014427
2,0.001722781804598239
3,0.0015827346253904535
4,0.0014811216846337162
20,0.0008972912202822993
40,0.0006096732535693508
60,0.00043372032363682357
80,0.0003174407959243045
100,0.00024347195104605684
120,0.00019520947823982576
140,0.0001615310774136738
